model,outcome,horizon,n,event,sw_conditional_F,conditional_df,residual_df,raw_wald_F_all_instruments,excluded_instruments,endogenous_regressors,covariance_assumption
joint,lbrent,16,421,military_conflict,197.026768619,1,404,65.6755895396,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,16,421,diplomatic_tension,633.052096948,1,404,211.017365649,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,16,421,nuclear_threat,456.084882256,1,404,152.028294085,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,17,420,military_conflict,196.197885142,1,403,65.3992950473,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,17,420,diplomatic_tension,627.372831984,1,403,209.124277328,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,17,420,nuclear_threat,454.971669354,1,403,151.657223118,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,18,419,military_conflict,196.820720562,1,402,65.606906854,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,18,419,diplomatic_tension,694.943166156,1,402,231.647722052,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,18,419,nuclear_threat,458.141272223,1,402,152.713757408,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,19,418,military_conflict,195.871618499,1,401,65.2905394995,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,19,418,diplomatic_tension,670.801940829,1,401,223.600646943,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,19,418,nuclear_threat,457.907853228,1,401,152.635951076,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,20,417,military_conflict,194.614218958,1,400,64.8714063195,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,20,417,diplomatic_tension,656.903921854,1,400,218.967973951,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,20,417,nuclear_threat,456.889233776,1,400,152.296411259,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,21,416,military_conflict,194.33964269,1,399,64.7798808966,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,21,416,diplomatic_tension,655.198056637,1,399,218.399352212,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lbrent,21,416,nuclear_threat,454.831147563,1,399,151.610382521,3,3,homoskedastic Sanderson-Windmeijer correction
